SampleId,Area_Name,Area_Code,Latitude,Longitude,Year,Month,Day,Hour,Minute,PCI
100L--3,4.b,2,55.9217,-1.8517,1964,8,6,21,51,1
101Q--11,4.a,3,61.2767,-2.7183,1963,12,15,11,50,0
101SA-9,7.d,4,50.0633,-1.62,1965,5,10,19,8,6.5
102Q--21,4.a,3,60.5867,-0.0017,1964,1,19,6,48,0
102Q--35,4.a,3,59.1667,3.6817,1964,1,18,21,44,0
102SA-9,7.d,4,50.075,-1.58,1965,6,21,15,40,0
103L--19,4.b,2,54.975,2.6833,1964,10,17,16,21,1
103LR-11,4.b,2,53.5767,1.6667,1967,6,14,15,42,6.5
103Q--13,4.a,3,61.1983,-2.42,1964,2,16,10,29,0
103Q--27,4.a,3,59.9867,1.5783,1964,2,16,1,39,0
103SA-9,7.d,4,50.0433,-1.61,1965,7,12,14,26,1
104L--3,4.b,2,55.9217,-1.8183,1964,11,14,2,20,1
104L--19,4.b,2,54.9967,2.5833,1964,11,14,16,43,2
105LR-17,4.b,2,53.59,1.66,1967,7,12,8,8,2
106L--13,4.b,2,55.3483,0.8867,1965,1,23,8,34,0
106LR-5,4.b,2,54.7217,-0.0583,1967,8,19,15,4,2
106Q--17,4.a,3,60.955,-1.2067,1964,5,17,10,24,1
106Q--39,4.a,3,58.8467,4.7,1964,5,16,20,25,0
107LR-5,4.b,2,54.4183,0.4467,1967,9,14,18,47,2
108L--13,4.b,2,55.3483,0.9,1965,3,20,1,25,1
108L--27,4.b,2,54.54,4.7033,1965,3,20,13,56,1
108LR-11,4.b,2,54.8333,-0.2067,1967,10,12,17,10,2
109LR-11,4.b,2,54.98,-0.3233,1967,11,14,3,47,2
109LR-29,4.c,1,52.71,2.9967,1967,11,13,4,14,1
109SA-1,7.d,4,50.625,0.2717,1966,3,22,2,58,1
110L--3,4.b,2,55.8083,-1.315,1965,5,15,17,56,2
110LR-21,4.c,1,52.665,3.1117,1967,12,21,6,3,1
110Q--11,4.a,3,61.3617,-3.1117,1964,9,20,14,13,0
110Q--35,4.a,3,59.205,3.5833,1964,9,19,22,9,0
111L--1,4.b,2,56.0367,-2.3933,1965,6,11,19,30,1
111L--25,4.b,2,54.65,4.1917,1965,6,12,16,26,1
111Q--9,4.a,3,61.425,-3.7883,1964,10,18,13,50,0
111Q--29,4.a,3,59.775,2,1964,10,18,0,43,0
111TB-23,4.a,3,60.795,2.875,1958,6,21,4,47,1
111TB-29,4.a,3,61.7933,2.8017,1958,6,21,11,54,0
112L--7,4.b,2,55.69,-0.75,1965,7,10,0,9,0
112L--29,4.b,2,54.4133,5.2383,1965,7,10,19,19,2
113L--5,4.b,2,55.8417,-1.2783,1965,8,21,2,7,0
113L--31,4.b,2,54.4967,5.61,1965,8,22,5,39,2
113Q--13,4.a,3,60.6083,-3.2767,1964,12,13,16,19,0
113Q--35,4.a,3,58.855,2.98,1964,12,13,0,57,0
114GA-3,4.a,3,59.9717,-3.2767,1971,8,27,9,55,2
114L--27,4.b,2,54.6817,4.8133,1965,9,19,7,57,2
114Q--11,4.a,3,61.325,-3.0583,1965,1,24,12,35,0
