accepted_id,aphia_id,name_cpr,name_worms,DRI
40,104464,Calanus finmarchicus,Calanus finmarchicus,1958
41,104466,Calanus helgolandicus,Calanus helgolandicus,1958
42,104465,Calanus glacialis,Calanus glacialis,1958
44,104467,Calanus hyperboreus,Calanus hyperboreus,1958
45,104471,Neocalanus gracilis,Neocalanus gracilis,1958
47,104469,Nannocalanus minor,Nannocalanus minor,1958
50,104543,Rhincalanus nasutus,Rhincalanus nasutus,1958
51,104303,Euchirella rostrata,Euchirella rostrata,1958
53,104550,Euchaeta acuta,Euchaeta acuta,1958
55,850801,Metridia lucens,Metridia lucens lucens,1958
56,104632,Metridia longa,Metridia longa,1958
57,746007,Pleuromamma robusta,Pleuromamma robusta robusta,1958
58,596242,Pleuromamma abdominalis,Pleuromamma abdominalis abdominalis,1958
59,104638,Pleuromamma borealis,Pleuromamma borealis,1958
60,1436445,Pleuromamma gracilis,Pleuromamma gracilis gracilis,1958
61,104474,Candacia armata,Candacia armata,1958
62,104208,Labidocera spp. (Unidentified),Labidocera,1958
63,104736,Labidocera wollastoni,Labidocera wollastoni,1958
80,129715,Tomopteris spp.,Tomopteris,1958
81,101383,Gammaridea,Gammaridae,1958
84,139178,Clione limacina,Clione limacina,1958
89,2081,Chaetognatha eyecount,Chaetognatha,1958
369,104178,Heterorhabdus spp. (Unidentified),Heterorhabdus,1958
370,104275,Aetideus armatus,Aetideus armatus,1958
372,364368,Anomalocera patersoni,Anomalocera patersonii,1958
386,345781,Eucalanus hyalinus,Eucalanus hyalinus,1958
407,104579,Heterorhabdus norvegicus,Heterorhabdus norvegicus,1958
408,104580,Heterorhabdus papilliger,Heterorhabdus papilliger,1958
414,128722,Sapphirina spp.,Sapphirina,1958
419,104343,Undeuchaeta plumosa,Undeuchaeta plumosa,1958
429,104157,Candacia spp. (Unidentified),Candacia,1958
434,104191,Pleuromamma spp. (Unidentified),Pleuromamma,1958
449,1302,Pycnogonida,Pycnogonida,1958
450,883,Polychaete larvae (unidentified),Polychaeta,1958
454,1137,Cumacea,Cumacea,1958
455,106731,Sergestidae,Sergestidae,1962
457,106087,Lepas nauplii,Lepas,1958
458,149668,Mysidacea,Mysida,1958
459,1078,Ostracoda,Ostracoda,1958
460,1806,Echinoderm post larvae,Echinodermata,1958
464,137751,Clio spp.,Clio,1958
467,799,Parasitic Nematoda,Nematoda,1958
471,11707,Cephalopoda larvae,Cephalopoda,1958
475,137746,Carinaria spp.,Carinaria,1970
480,164,Gymnosomata (Unidentified),Gymnosomata,1958
509,14355,Stomatopoda,Stomatopoda,1958
510,104906,Branchiostoma lanceolatum,Branchiostoma lanceolatum,1958
626,1135,Amphipoda (Unidentified),Amphipoda,2009
961,104727,Labidocera acutifrons,Labidocera acutifrons,1991
977,137217,Salpidae (Total),Salpidae,1958
978,137215,Doliolidae,Doliolidae,1958
985,115427,Alteutha spp.,Alteutha,1994
1574,196874,Paraeuchaeta spp.,Paraeuchaeta,2006
1577,51,Mollusca (Unidentified),Mollusca,1999
1592,106087,Lepas cypris,Lepas,2002
1593,104097,Pontellidae (Unidentified),Pontellidae,2002
1618,127379,Pipefish,Entelurus aequoreus,2006
1677,104190,Metridia spp. (V-VI) (unidentified),Metridia,2007
5500,125516,Ammodytidae,Ammodytidae,2006
10066,1104,Siphonostomatoida,Siphonostomatoida,1958
10069,1106,Monstrilloida,Monstrilloida,2014
10588,104468,Mesocalanus tenuicornis,Mesocalanus tenuicornis,1958
10593,196121,Caprelloidea,Caprelloidea,1958
10596,104544,Subeucalanus crassus,Subeucalanus crassus,1958
10601,104085,Eucalanidae (unidentified),Eucalanidae,1958
10604,104563,Paraeuchaeta hebes,Paraeuchaeta hebes,1958
10605,104566,Paraeuchaeta norvegica,Paraeuchaeta norvegica,1958
10606,104086,Euchaetidae (unidentified),Euchaetidae,1958
10610,724226,Parathalestris croni,Parathalestris croni,1958
10688,157680,Pseudodiaptomus spp. eyecount,Pseudodiaptomus,2011
10703,22990,Atlanta/Oxygyrus,Atlantidae,1958
