accepted_id,aphia_id,name_cpr,name_worms,DRI
101,149055,Paralia sulcata,Paralia sulcata,1958
102,149074,Skeletonema costatum,Skeletonema costatum,1958
103,148912,Thalassiosira spp.,Thalassiosira,1958
104,179785,Dactyliosolen antarcticus,Dactyliosolen antarcticus,1958
107,149629,Rhizosolenia styliformis,Rhizosolenia styliformis,1958
108,149070,Rhizosolenia hebetata semispina,Rhizosolenia semispina,1958
112,370366,Chaetoceros(Hyalochaete) spp.,Chaetoceros Hyalochaete,1958
113,370367,Chaetoceros(Phaeoceros) spp.,Chaetoceros Phaeoceros,1958
114,149095,Odontella sinensis,Odontella sinensis,1958
116,157083,Thalassiothrix longissima,Thalassiothrix longissima,1958
117,985570,Thalassionema nitzschioides,Synedra nitzschioides f. nitzschioides,1958
121,840626,Ceratium fusus,Tripos fusus,1958
122,840627,Ceratium furca,Tripos furca,1958
123,837459,Ceratium lineatum,Tripos lineatus,1958
124,495363,Ceratium tripos,Tripos muelleri,1958
125,841260,Ceratium macroceros,Tripos macroceros,1958
126,837453,Ceratium horridum,Tripos horridus,1958
127,841259,Ceratium longipes,Tripos longipes,1958
128,836815,Ceratium arcticum,Tripos arcticus,1958
132,109555,Pyrophacus spp.,Pyrophacus,1975
133,109901,Polykrikos schwartzii cysts,Polykrikos schwartzii,1993
151,148947,Actinoptychus spp.,Actinoptychus,1960
152,162254,Asteromphalus spp.,Asteromphalus,1958
154,149118,Bacteriastrum spp.,Bacteriastrum,1958
155,149306,Bellerochea malleus,Bellerochea malleus,1958
156,699394,Biddulphia alternans,Trigonium alternans,1958
157,149050,Odontella aurita,Odontella aurita,1958
158,1322477,Odontella granulata,Cerataulus granulata,1958
159,1322477,Odontella obtusa,Odontella obtusa,1961
160,149662,Odontella regia,Odontella regia,1958
161,163288,Odontella rhombus,Zygoceros rhombus,1958
162,149619,Cerataulina pelagica,Cerataulina pelagica,1958
165,148992,Coscinodiscus concinnus,Coscinodiscus concinnus,1958
166,148917,Coscinodiscus spp. (Unidentified),Coscinodiscus,1958
167,149286,Detonula confervacea,Detonula confervacea,1963
168,149023,Ditylum brightwellii,Ditylum brightwellii,1958
169,149131,Eucampia zodiacus,Eucampia zodiacus,1958
171,149132,Guinardia flaccida,Guinardia flaccida,1958
172,149033,Gyrosigma spp.,Gyrosigma,1958
173,163248,Hemiaulus spp.,Hemiaulus,1959
175,149106,Leptocylindrus danicus,Leptocylindrus danicus,1958
176,149142,Navicula spp.,Navicula,1958
177,149004,Cylindrotheca closterium,Cylindrotheca closterium,1958
