accepted_id,aphia_id,name_cpr,name_worms,DRI
1,104152,Calanus I-IV,Calanus,1958
4,104878,Temora longicornis,Temora longicornis,1958
5,104108,Acartia spp. (unidentified),Acartia,1958
6,104499,Centropages typicus,Centropages typicus,1958
7,104496,Centropages hamatus,Centropages hamatus,1958
8,104501,Isias clavipes,Isias clavipes,1958
9,104161,Clausocalanus spp.,Clausocalanus,1958
10,106485,Oithona spp.,Oithona,1958
11,128634,Corycaeus spp.,Corycaeus,1958
30,106269,Podon spp.,Podon,1958
31,106267,Evadne spp.,Evadne,1958
34,2081,Chaetognatha Traverse,Chaetognatha,1958
35,146142,Cyphonautes,Bryozoa,1958
36,1806,Echinoderm larvae,Echinodermata,1958
39,137793,Clione shells,Clione,1958
134,196834,Dictyocysta spp.,Dictyocysta,1996
135,196837,Parafavella gigantea,Parafavella gigantea,1996
148,106272,Penilia avirostris,Penilia avirostris,1997
197,134528,Halosphaera spp.,Halosphaera,1996
270,196835,Favella serrata,Favella serrata,1996
303,104157,Candacia I-IV,Candacia,1958
304,104510,Ctenocalanus vanus,Ctenocalanus vanus,1959
307,116162,Euterpina acutifrons,Euterpina acutifrons,1964
309,116382,Macrosetella gracilis,Macrosetella gracilis,1965
312,104183,Lucicutia spp.,Lucicutia,1958
313,104616,Mecynocera clausi,Mecynocera clausi,1958
314,104190,Metridia I-IV,Metridia,1958
316,104164,Microcalanus spp.,Microcalanus,1958
318,104686,Parapontella brevicornis,Parapontella brevicornis,1958
321,104229,Scolecithricella spp.,Scolecithricella,1958
324,157684,Tortanus discaudatus,Tortanus discaudatus,1961
326,1080,Copepod nauplii,Copepoda,1958
329,104521,Diaixis hibernica,Diaixis hibernica,1962
347,1080,Copepod eggs,Copepoda,1993
351,1128,Euphausiacea calyptopis,Euphausiacea,1958
352,1128,Euphausiacea nauplii,Euphausiacea,1961
353,1128,Euphausiacea eggs,Euphausiacea,1961
357,196832,Zoothamnium pelagicum,Zoothamnium pelagicum,1992
431,104159,Centropages spp. (Unidentified),Centropages,1958
634,196838,Ptychocylis spp.,Ptychocylis,1996
805,163780,Tintinnopsis spp.,Tintinnopsis,1996
807,196768,Pacillina arctica incertae sedis,Pacillina arctica,1996
813,104157,Spiny egg (Candacia egg),Candacia,1997
946,14260,Rotifer eggs,Rotifera,1980
951,119723,Spindelei,Kuhnia scombri,1983
974,178847,Fusopsis incertae sedis,Fusopsis,1977
1543,102,Echinospira larvae,Prosobranchia,1999
1586,104193,Ischnocalanus,Calocalanus,1958
1588,23020,Thecosomata (Pacific),Euthecosomata,2002
1589,413311,Hemicyclops aberdonensis,Hemicyclops aberdonensis,2002
1608,586732,Acantharia spp,Acantharia,2004
1609,582421,Radiolaria non-Acantharian,Radiozoa,2004
1628,104196,Paracalanus spp.,Paracalanus,2008
1629,115341,Microsetella spp.,Microsetella,2005
1644,104162,Ctenocalanus spp. (Unidentified),Ctenocalanus,2005
1648,1100,Small Calanoid copepod (Unidentified),Calanoida,2005
1654,23020,Thecosomata (Antarctic),Euthecosomata,2005
1688,104108,Acartia spp. - Antarctic,Acartia,2006
10031,146421,Appendicularia,Appendicularia,1958
10587,587514,Clytemnestridae,Clytemnestrinae,1965
10590,105,Bivalvia larvae,Bivalvia,1958
10673,23020,Thecosomata (North Atlantic),Euthecosomata,1958
10687,157680,Pseudodiaptomus spp. traverse,Pseudodiaptomus,2015
10740,626372,Radiosperma corbiferum,Radiosperma corbiferum,2017
10742,104165,Pseudocalanus spp. adult Total,Pseudocalanus,1958
10749,1076,Cladocera unidentified,Cladocera,2018
