year,recruitment_low,Recruitment,recruitment_high,SSB_low,SSB,SSB_high,total_catch,F_low,F,F_high

1947,17294700,30393900,53414800,3694475,5011700,6798569,581760,0.097,0.134,0.187
1948,17463000,29130200,48592400,3174556,4268888,5740457,502100,0.088,0.121,0.167
1949,14883900,24585100,40609400,2907667,3874363,5162451,508500,0.109,0.148,0.20
1950,21323100,34581900,56085200,2793758,3658368,4790557,491700,0.116,0.155,0.21
1951,20894800,33631900,54133200,2522500,3262105,4218565,600400,0.156,0.20,0.26
1952,21028100,33617600,53744500,2400291,3086246,3968233,664400,0.176,0.23,0.29
1953,24637600,38290600,59509500,2230975,2865891,3681497,698500,0.186,0.24,0.31
1954,22755300,35259700,54635300,2021604,2615372,3383536,762900,0.22,0.29,0.38
1955,19680900,30325900,46728500,2040799,2630951,3391762,806400,0.20,0.26,0.34
1956,14573800,22490500,34707800,1973891,2539838,3268050,675200,0.20,0.26,0.33
1957,32998800,51398300,80057000,1787367,2300287,2960400,682900,0.22,0.28,0.36
1958,14628800,22388800,34265000,1519011,1951668,2507558,670500,0.200,0.26,0.33
1959,16061600,25219300,39598200,2209356,2836319,3641201,784500,0.24,0.31,0.40
1960,7192840,11210000,17470700,1917216,2453051,3138645,696200,0.200,0.25,0.32
1961,30374500,47141200,73163100,1955405,2468092,3115202,696700,0.22,0.28,0.35
1962,16977100,25827300,39291100,1350437,1722850,2197965,627800,0.26,0.32,0.41
1963,19988600,30268000,45833700,2201687,2741937,3414755,716000,0.155,0.191,0.24
1964,20618600,31083400,46859500,2075133,2501249,3014866,871200,0.25,0.29,0.35
1965,10496600,15809300,23810900,1667763,1974569,2337816,1168800,0.45,0.54,0.63
1966,11064500,16594300,24887700,1347008,1583488,1861485,895500,0.42,0.50,0.58
1967,15349900,23197900,35058500,819869,953232,1108290,695500,0.60,0.70,0.80
1968,13268900,19837200,29656900,445760,519899,606368,717800,0.96,1.08,1.23
1969,7795420,11800300,17862700,389572,474502,577949,546700,0.78,0.89,1.02
1970,12920000,19589800,29702800,371224,452425,551388,563100,0.84,0.96,1.09
1971,10306100,15463600,23202100,236118,285676,345635,520100,1.28,1.44,1.62
1972,7521510,11389600,17246900,271323,328757,398349,497500,0.54,0.62,0.71
1973,4244670,6403450,9660140,232098,277809,332522,484000,0.84,0.95,1.08
1974,6410190,9840430,15106300,160592,190997,227160,275100,0.80,0.91,1.03
1975,1560380,2409240,3719870,87382,105274,126831,312800,1.04,1.20,1.38
1976,1913180,3041430,4835050,108580,142438,186853,174800,0.70,0.89,1.12
1977,2413190,3917840,6360650,80771,110239,150458,46000,0.25,0.34,0.45
1978,2341870,3837680,6288890,101066,136783,185121,11000,0.147,0.23,0.37
1979,4460130,7056930,11165600,142844,185131,239936,25100,0.119,0.191,0.31
1980,7558750,11324500,16966300,167125,208227,259437,70764,0.133,0.167,0.21
1981,16055100,24038900,35992700,215232,267571,332638,174879,0.21,0.26,0.32
1982,27443500,41024800,61327300,309652,380425,467373,275079,0.158,0.193,0.24
1983,28412700,41844600,61626300,445908,544041,663769,387202,0.23,0.27,0.33
1984,27907500,41049700,60380800,729934,892589,1091489,428631,0.30,0.36,0.43
1985,33811100,49775500,73277800,814973,987761,1197183,613780,0.38,0.46,0.55
1986,39334900,58042200,85646500,853082,1027930,1238614,671488,0.35,0.42,0.51
1987,34333800,50556400,74444100,1012419,1213268,1468379,792058,0.33,0.40,0.47
1988,21835600,32109300,47216900,1296241,1553818,1862578,887686,0.32,0.38,0.45
1989,18012300,26426000,38770000,1399597,1631229,1901197,787899,0.31,0.37,0.43
1990,16633600,24489200,36054900,1527798,1774688,2061476,645229,0.24,0.29,0.34
1991,18082500,26620300,39189200,1368389,1582476,1830057,658008,0.26,0.31,0.36
1992,32547200,46021100,65073000,1032722,1197812,1389294,716799,0.31,0.37,0.44
1993,33734800,47767400,67637200,725265,850381,997081,671397,0.37,0.43,0.51
1994,26504500,37616600,53387300,771333,905558,1063140,568234,0.36,0.43,0.51
1995,28078300,39991400,56959200,787472,931767,1102502,579371,0.33,0.40,0.47
1996,24339600,34476200,48834300,924618,1093154,1292409,275098,0.160,0.193,0.23
1997,18854900,26741800,37927700,1084457,1275468,1500123,264313,0.143,0.171,0.20
1998,12804500,17875500,24954800,1269007,1478263,1722024,391628,0.179,0.21,0.25
1999,35292200,49196500,68579000,1346998,1568620,1826705,363163,0.170,0.20,0.24
2000,26361100,36597600,50809200,1375802,1599384,1859302,373431,0.167,0.199,0.24
2001,44775300,62703500,87810100,1689750,1965037,2285172,357223,0.145,0.173,0.21
2002,23131200,32236600,44926200,2108449,2453973,2856119,370274,0.131,0.156,0.186
2003,12964200,18021300,25051000,2100099,2428057,2807230,478835,0.156,0.185,0.22
2004,14823300,20608900,28652500,2081438,2400169,2767708,566846,0.193,0.23,0.27
2005,13025500,18023600,24939700,1878716,2177512,2523830,661211,0.24,0.28,0.33
2006,13258400,18395000,25521600,1529149,1769954,2048680,515638,0.21,0.25,0.30
2007,15609700,21786200,30406400,1212434,1408363,1635954,405845,0.186,0.22,0.27
2008,14026000,19621800,27450000,1280092,1485480,1723822,260191,0.112,0.134,0.159
2009,22131200,30908100,43165700,1578720,1835238,2133436,169243,0.061,0.073,0.087
2010,17409800,24240900,33752400,1666910,1939214,2256000,190123,0.064,0.077,0.091
2011,15367200,21331100,29609600,2001226,2303276,2650916,226631,0.083,0.098,0.117
2012,14843300,20604400,28601400,2046966,2354154,2707443,434857,0.150,0.178,0.21
2013,19549700,27303500,38132700,1878618,2156527,2475548,511930,0.179,0.21,0.25
2014,29286200,41181300,57907800,1843125,2111507,2432736,518684,0.173,0.20,0.24
2015,8147820,11441400,16066500,1684156,1939546,2233664,495288,0.180,0.21,0.25
2016,14501400,20129400,27941700,1915676,2220343,2573464,564020,0.197,0.23,0.28
2017,9265060,12933100,18053300,1796698,2089283,2429514,500187,0.162,0.193,0.23
2018,16659500,23172700,32232200,1610150,1876072,2185912,604263,0.186,0.22,0.26
2019,15298100,21301400,29669000,1403634,1629438,1891568,443105,0.155,0.185,0.22
2020,17071200,23721400,32962300,1368399,1583584,1832607,426150,0.160,0.189,0.22
