"","year","value","CV","lbnd","ubnd"
"1593",1947,5053543.42449386,0.160766581940451,3687641.76195334,6925374.74944895
"1594",1948,4304001.9231429,0.156271143952988,3168485.86141452,5846462.11618184
"1595",1949,3895332.44220668,0.15106396598379,2897051.95694682,5237605.35220059
"1596",1950,3665857.16923128,0.141512276517905,2777907.99811229,4837636.37756775
"1597",1951,3251767.12327206,0.135031017996922,2495621.46794983,4237016.53467487
"1598",1952,3077469.26021179,0.131428514337014,2378589.58902549,3981694.48451539
"1599",1953,2856652.00025334,0.130678926636041,2211165.19384151,3690570.32612477
"1600",1954,2610065.62622974,0.134051220936232,2006987.76199074,3394361.7904619
"1601",1955,2623309.6333389,0.132108862625089,2024865.68238029,3398622.18627706
"1602",1956,2539794.58302596,0.131266992791276,1963640.01045216,3284999.53638786
"1603",1957,2301435.7751521,0.1315259635266,1778450.16236139,2978214.81829843
"1604",1958,1955069.89959327,0.131138519695776,1511941.29124541,2528073.23566589
"1605",1959,2844316.9661838,0.129239563653815,2207837.23973016,3664282.33863372
"1606",1960,2451019.61119356,0.12785008766868,1907737.40278433,3149016.80162456
"1607",1961,2475063.45457285,0.120816732362039,1953192.54908023,3136372.34948844
"1608",1962,1724802.65511208,0.127180443351437,1344253.67710516,2213082.43358367
"1609",1963,2739102.59190685,0.112769537738933,2195922.10472841,3416643.51063981
"1610",1964,2485811.64790954,0.0963386874431395,2058083.88640068,3002433.27772682
"1611",1965,1974285.24547377,0.0873160627459955,1663738.11773264,2342797.93733847
"1612",1966,1580449.88694093,0.0832741576802775,1342444.4869262,1860651.87012006
"1613",1967,950824.338059561,0.0775821317512946,816697.161168781,1106979.3857892
"1614",1968,520509.014856676,0.0790340853948446,445813.364922676,607719.857375875
"1615",1969,475289.9784629,0.100537829515388,390282.54566875,578812.878347359
"1616",1970,453223.61346643,0.100929798030761,371877.027174192,552364.434459541
"1617",1971,284179.656464765,0.0971383771160205,234913.042135018,343778.601709206
"1618",1972,327411.695776884,0.097767933705417,270316.43045716,396566.41792066
"1619",1973,277612.701319488,0.0917846909578416,231905.274180192,332328.845069821
"1620",1974,190764.797489832,0.0886618244659631,160334.789979817,226970.128977732
"1621",1975,104815.144947047,0.0959242963474104,86850.3613637503,126495.899818511
"1622",1976,142687.272422738,0.13924460880752,108607.003686847,187461.738380564
"1623",1977,108360.962148662,0.160643349698612,79091.6202878304,148461.974543597
"1624",1978,134609.490161285,0.156709869140276,99010.5665838362,183007.889629016
"1625",1979,183505.660741509,0.134356900053499,141020.60178307,238790.127813939
"1626",1980,206382.405042376,0.113663676988725,165165.826149866,257884.443192427
"1627",1981,264793.788730536,0.111990396467891,212608.020347484,329788.831275862
"1628",1982,376729.011368635,0.10569265045674,306239.823327115,463443.148787314
"1629",1983,538532.630272515,0.101948110538929,440993.348626576,657645.732688394
"1630",1984,886841.111050844,0.102733522237576,725098.952651799,1084661.82908359
"1631",1985,980114.326713378,0.0980608320916591,808733.944900646,1187812.25826601
"1632",1986,1019024.60749367,0.0949583244349602,845969.126725105,1227481.14307375
"1633",1987,1199679.13088517,0.0943444937922375,997143.01125912,1443353.66224353
"1634",1988,1523280.55215622,0.091983693541667,1271984.43450786,1824223.29835752
"1635",1989,1594322.88001023,0.0773552913426808,1370030.15209849,1855335.40399146
"1636",1990,1746960.84503387,0.0752780412672628,1507319.1224744,2024702.1009536
"1637",1991,1556400.40557228,0.0729772679779212,1348968.56900269,1795729.18015166
"1638",1992,1182644.5725545,0.074139291001904,1022693.75623675,1367611.93315511
"1639",1993,842267.41493216,0.0791565916602532,721224.627790612,983624.755618388
"1640",1994,893186.216824734,0.0803900411786015,762979.076249273,1045614.0184702
"1641",1995,921579.504347501,0.0840074929515502,781671.334864878,1086529.26741928
"1642",1996,1081041.22784436,0.0834669547655658,917896.578041059,1273182.80104425
"1643",1997,1255668.01697955,0.0812552337722304,1070801.52541871,1472450.43216466
"1644",1998,1445109.41735361,0.0769368917471581,1242827.13520427,1680315.12104125
"1645",1999,1526964.67050602,0.076988832717936,1313090.8390855,1775673.87995595
"1646",2000,1559215.51018049,0.0760258567969452,1343357.58081814,1809758.65391458
"1647",2001,1930278.95733802,0.0762000827610513,1662483.16593204,2241211.77855842
"1648",2002,2391903.68983784,0.0766735697462848,2058153.81597046,2779774.38666905
"1649",2003,2352852.23268725,0.0733928472983424,2037611.57940289,2716864.04063509
"1650",2004,2323717.79598739,0.072244706265023,2016914.31576089,2677190.77265384
"1651",2005,2107539.59042813,0.0748911794350621,1819814.33931259,2440756.19653584
"1652",2006,1719956.17074738,0.0739231625467923,1487964.99279299,1988117.49175576
"1653",2007,1361366.06381514,0.0758495436803958,1173303.82173,1579571.74039958
"1654",2008,1454416.7778305,0.0750434083057663,1255482.42361493,1684872.781846
"1655",2009,1809035.03560602,0.0758133283876035,1559241.44527699,2098846.05746143
"1656",2010,1930083.52661736,0.0764443060391108,1661519.32563571,2242057.83360023
"1657",2011,2257450.43323642,0.0710648678679383,1963932.63326491,2594835.67419896
"1658",2012,2298623.7204671,0.0709640615141206,2000147.64604891,2641640.49025649
"1659",2013,2101053.74926187,0.0700252327515904,1831599.35206442,2410148.73275194
"1660",2014,2068400.3678262,0.0704343997938807,1801688.20275144,2374595.15752503
"1661",2015,1890235.17878745,0.0717329071172906,1642311.59178843,2175585.3450652
"1662",2016,2162422.44565481,0.0750269548096677,1866707.65052961,2504982.94799675
"1663",2017,2031671.91783421,0.0768576458605923,1747555.70753421,2361979.51454164
"1664",2018,1838854.062176,0.0773873892270905,1580060.76067751,2140034.32407959
"1665",2019,1595676.4573993,0.0753126383576877,1376694.01863885,1849491.11583692
"1666",2020,1534857.55404533,0.073903551352669,1327883.89320209,1774091.63803412
"1667",2021,1470188.90132094,0.0736166204970917,1272651.24716242,1698387.84222039
"1668",2022,1692343.51071371,0.0731005206458798,1466439.33389974,1953048.1023299
"1669",2023,1542193.67465244,0.0765319863248329,1327374.82207936,1791778.24573487
"1670",2024,1511249.15098818,0.0919056951073263,1262130.79367136,1809538.28859449
"1671",2025,1222024.11684401,0.161296563312025,890802.383439762,1676402.05045472
